"","Module_1","Module_2","Module_3","Module_4","Module_5","Module_6","Module_7","Module_8","Module_9","Module_10","Module_11"
"TCGA-38-4626-01A",2.51061850775054,2.10636072178762,3.02899028220521,-2.95110718548027,2.71302663827298,0.726429777236485,2.49657340213514,3.81235612139076,-2.20172697406896,-1.25268420571671,2.39879062736186
"TCGA-38-4627-01A",1.17941038205547,-1.1837951924119,2.44554670176128,-0.397820713311781,2.04065570494166,0.0216969809410545,0.432470374776585,2.72326588171952,-0.534857781940212,0.419052013536536,2.09972553320355
"TCGA-38-4628-01A",-1.50393734467199,-0.782312384610862,-0.213959679346967,1.10664485021011,-0.560126817858693,-1.35138180613917,-3.01902619904588,-1.37313621247194,1.29436066750086,0.514407428179884,0.0120057844454869
"TCGA-38-4629-01A",-1.42527803024175,-1.36708428944721,-1.60861768106224,1.44434855220059,-1.06040691276862,1.50410477174044,-1.653514692368,-1.86004977768594,1.37121188723829,2.08747607049795,-1.11311471513578
"TCGA-38-4630-01A",-1.1852042794112,0.00257086680681695,-2.84248509433148,1.18899710683202,-1.87063625062986,-3.34282891808573,0.462846038728071,-1.96804422259784,1.83085015731172,2.11136661090188,-1.34824328220412
"TCGA-38-4631-01A",-2.16552782551761,-1.23973508926852,-2.79650852730588,2.61145580713666,-2.18523351454681,-0.321951198352377,-2.14511477571427,-3.15540617093465,2.1296320447586,1.96351615664472,-1.5449239898045
"TCGA-38-4632-01A",-1.58248139632767,-1.77095824634851,-2.017962325163,2.8516679419112,-1.55794794508992,1.00310600802104,-2.40586247403336,-2.55777053508362,2.28976506087733,0.945462799584981,-1.59812025447642
"TCGA-38-6178-01A",-0.299245317214714,0.859637031230048,2.07402422704579,-1.98576364456777,1.82757206118013,-3.54351133191799,3.3972423707848,2.15286979097372,-2.72380301390475,-0.22742676953658,1.51335597783738
"TCGA-38-7271-01A",3.39873579931121,-1.13464307921802,2.3079058912215,-2.53580226620874,1.9672902705136,1.81348237281109,3.96115807759231,3.02751961937518,-2.0869986624438,-0.0357923474087954,1.91622489438033
"TCGA-38-A44F-01A",3.17781120852169,1.77006490495327,3.26980796743643,-1.01420707606168,2.12054690875323,1.24720395008512,1.78867449826404,3.08545996376514,-2.28200716905647,-3.21185461985493,2.32311171491277
"TCGA-44-2655-01A",-1.60822689438686,-0.812219532376625,3.30690757782473,-0.135676364144862,1.33496615781933,-0.381456693489612,-2.24148647373783,2.35879894829615,-2.56603646082503,-3.38788794062719,2.27705289889782
